Image,Total_Boxes,OCR_Japanese,OCR_Translated,GT_Translated,Similarity,TP,FP,FN
tr_img_06001,7,北給田 | 中給 | 田 | 荻 | 行 | 先 | 県,north | porta. | middle | salary. | ta. | i'll | take | care | of | it. | rows | go | ahead. | philippines,kanto | the | bus. | north | porta. | how'd | it | go? | nakata. | it's | a | five-day | street | office. | it's | just | a | matter | of | time. | path | to | i'll | be | right | there. | 220 | yen. | 216 | yen. | small | low | yen | thank | you. | i'm | sure | you'll | be | fine. | son | of | a | bitch. | in | cash. | a | long | way | please. | at | the | bus | stop. | huh.,0.1074,4,10,51
tr_img_06002,3,や | カツ井とんかつ | 営業中,hey. | i | don't | know. | i'm | in | business.,i | don't | know. | i | don't | know. | i'm | in | business. | and | hey.,0.7333,7,0,4
tr_img_06003,2,南13条西16丁目,south | 13th | and | west | 16th.,south | 13th | and | west | 16th.,1.0000,5,0,0
tr_img_06004,1,清水日,a | fresh | water | day.,m. | purchase | little | grass | town.,0.4839,0,4,5
tr_img_06005,1,北幌市中央区中島公園115,"115 | oshima | park, | central | area | of | northern | japan.",island | park | 1-15 | in | the | middle | of | yokohama.,0.4874,1,7,7
tr_img_06006,2,,,sakura | water | station | sakura | water | station | exercise | i'll | go | check | it | out. | no. | look | at | this. | i | can't. | four. | he's | a | business | man. | i'll | see | you | later. | um... | that's | what | i'm | gonna | do. | pyongyang | 16 | (three) | landscaping | move | building | leaves | land | you | need | to | be | able | to | do | that. | pyongyang | 16 | (two) | and | the | leaves. | i'm | sorry. | tokyo | three. | land | value | landowner | land | trade. | (d) | get | some | land. | ! | move | i'm | going | to | leave | the | earth. | i | thought | you | were | someone. | two. | (?) | tokyo | city | account | a | book. | . | you're | right. | i | know. | oh | it's | about | urban | planning. | city | 10th | tokyo | east | # | # | # | # | # | #,0.0000,0,0,108
tr_img_06007,3,おさし | アイス,- | hi. | - | hi. | ice | cream.,i'm | looking | forward | to | it. | bon | appetit. | ice | cream.,0.5714,2,4,7
tr_img_06008,1,,,oh,0.0000,0,0,1
tr_img_06009,4,日本橋 | 人形町 | 一丁目,japan | bridge | doll | town | one.,japan | bridge | it's | doll | town. | one.,0.8974,4,1,2
tr_img_06010,4,日本橋 | 人形町 | 一丁目,japan | bridge | doll | town | one.,japan | bridge | it's | doll | town. | one.,0.8974,4,1,2
tr_img_06011,13,"暖房能力Nの | 国内家庭用エアコン6,3kW・71kＷクラスにおいて | 茶ＪIS低温時定格暖房能力MSZ-ZD63 | 2015年 | 11月25日現在 | 寒冷地仕様 | ニジイ | 太バ順霧ヶ峰 | テレビCM炭央中!","i'm | going | to | show | you | a | couple | of | examples. | i'm | going | to | show | you | a | couple | of | examples. | m.j.s.a., | heat-heating | capacity | msz-zd | 63. | 2015. | november | 25th. | cold | terrain. | nijii. | big-basin | fog | cape | i'm | on | tv | commercials!",heating | ability | as | of | november | 25 | cold | terrain. | fog | cape | zubaba-smurfic | cape. | nicuy. | hey!,0.3960,6,30,8
tr_img_06012,2,北10条東11丁目,north | 10 | east | 11th | and | east | 11th.,north | 10 | east | 11th | and | east | 11th.,1.0000,7,0,0
tr_img_06013,6,ザシティベルシテイ | 元住吉店 | 駐輪場 | ご利用,the | city | of | belsitia. | hikichi | shop. | central | central | use,that's | the | way | you | look | at | it. | yoshi's | home. | central | central | use | it. | possible | time,0.6077,4,5,11
tr_img_06014,8,さ一ぼ3地下街 | 水野メ市ネ | 補聴器 | 定補藤器専門) | (稲社法指定店),i'm | in | the | basement. | aqualand | city | a | hearing | aid. | (i'm | specializing | in | the | proprietor) | (use | cracking),it's | a | fucking | underground | town. | seascape | glasses. | seascape | glasses. | a | hearing | aid. | sometimes... | six | o'clock. | # | # | # | # | # | # | it's | been | a | long | time | since | i've | known | you. | yumick. | isopa | netz. | all | right | viyer. | karao. | only | women. | i've | got | a | guy | who's | got | a | license | hearing | aid. | it's | a | registered | hearing | aid | shop. | i'm | sorry | free | ear | readings. | hearing | aids | free | checks | it's | just | like | a | fox.,0.0401,4,12,65
tr_img_06015,2,吉川内科・ | 信環器科クリ二ツク,mr. | yoshigawa... | krishnituk.,yoshigawa | medical | center. | i'm | yoshigawa. | old | river,0.4468,0,3,7
tr_img_06016,3,日本橋 | 入飛形町,japan | bridge | it's | a | flying | town.,japan | bridge | it's | doll | town. | one.,0.7765,4,2,2
tr_img_06017,0,,,fish | and | fish.,0.0000,0,0,3
tr_img_06018,4,豊平区 | 中の島1条3丁目1,fabian | districts | it's | on | the | island. | it's | on | the | island.,george | i | don't | know. | shoe. | one | of | the | islands. | three | of | the | islands.,0.6627,2,8,11
