Image,Total_Boxes,Retained_Boxes,Average_Confidence
tr_img_06001,11,9,0.9782
tr_img_06002,2,2,0.9471
tr_img_06003,2,2,0.9931
tr_img_06004,1,1,0.8502
tr_img_06005,1,1,0.8208
tr_img_06006,2,2,0.9588
tr_img_06007,3,3,0.9395
tr_img_06008,0,0,0.0000
tr_img_06009,4,4,0.9966
tr_img_06010,4,4,0.9913
tr_img_06011,11,11,0.9042
tr_img_06012,2,2,0.9914
tr_img_06013,5,5,0.9883
tr_img_06014,3,3,0.9968
tr_img_06015,1,1,0.8705
tr_img_06016,2,2,0.9514
tr_img_06017,0,0,0.0000
tr_img_06018,4,4,0.9372
tr_img_06019,17,15,0.9253
tr_img_06020,14,12,0.9510
tr_img_06021,4,4,0.9278
tr_img_06022,1,1,0.9954
tr_img_06023,25,23,0.9661
tr_img_06024,2,2,0.9992
tr_img_06025,4,3,0.9678
tr_img_06026,8,7,0.9303
tr_img_06027,4,4,0.9714
tr_img_06028,4,4,0.9363
tr_img_06029,3,2,0.9106
tr_img_06030,4,4,0.9648
tr_img_06031,2,2,0.9754
tr_img_06032,4,4,0.9481
tr_img_06033,9,9,0.9976
tr_img_06034,1,0,0.0000
tr_img_06035,1,1,0.8390
tr_img_06036,16,16,0.9827
tr_img_06037,5,4,0.8491
tr_img_06038,5,5,0.9614
tr_img_06039,1,1,0.9988
tr_img_06040,46,39,0.9651
tr_img_06041,2,2,0.8800
tr_img_06042,1,1,0.9061
tr_img_06043,3,3,0.9978
tr_img_06044,2,2,0.9970
tr_img_06045,4,4,0.9950
tr_img_06046,3,3,0.9335
tr_img_06047,3,3,0.9315
tr_img_06048,4,4,0.9477
tr_img_06049,1,1,0.9677
tr_img_06050,1,1,0.9849
tr_img_06051,1,1,0.8363
tr_img_06052,3,3,0.8407
tr_img_06053,2,2,0.9979
tr_img_06054,2,2,0.9842
tr_img_06055,51,50,0.9609
tr_img_06056,2,2,0.9965
tr_img_06057,1,0,0.0000
tr_img_06058,3,3,0.9972
tr_img_06059,0,0,0.0000
tr_img_06060,1,1,1.0000
tr_img_06061,5,5,0.9730
tr_img_06062,2,2,0.9749
tr_img_06063,1,1,0.9882
tr_img_06064,13,13,0.9669
tr_img_06065,0,0,0.0000
tr_img_06066,3,3,0.9778
tr_img_06067,16,16,0.9281
tr_img_06068,6,5,0.9338
tr_img_06069,2,2,0.9968
tr_img_06070,1,0,0.0000
tr_img_06071,1,1,0.9428
tr_img_06072,3,3,0.8997
tr_img_06073,2,2,0.9014
tr_img_06074,3,3,0.9297
tr_img_06075,14,11,0.9405
tr_img_06076,37,36,0.9854
tr_img_06077,4,4,0.9153
tr_img_06078,11,11,0.9434
tr_img_06079,15,15,0.9789
tr_img_06080,2,2,0.9997
tr_img_06081,10,10,0.9664
tr_img_06082,4,2,0.9454
tr_img_06083,3,3,0.9963
tr_img_06084,5,4,0.9775
tr_img_06085,3,3,0.9945
tr_img_06086,3,3,0.9995
tr_img_06087,2,2,0.9597
tr_img_06088,4,4,0.9728
tr_img_06089,5,5,0.9919
tr_img_06090,0,0,0.0000
tr_img_06091,1,1,0.8279
tr_img_06092,7,6,0.8699
tr_img_06093,4,4,0.9333
tr_img_06094,7,7,0.9566
tr_img_06095,2,2,0.8961
tr_img_06096,2,2,0.9907
tr_img_06097,5,5,0.9374
tr_img_06098,1,1,0.9694
tr_img_06099,12,12,0.9364
tr_img_06100,1,1,0.9976
tr_img_06101,4,4,0.9826
tr_img_06102,3,3,0.8449
tr_img_06103,2,2,0.9164
tr_img_06104,9,9,0.9266
tr_img_06105,2,2,0.9700
tr_img_06106,4,4,0.9780
tr_img_06107,2,1,0.8376
tr_img_06108,2,2,0.9000
tr_img_06109,1,0,0.0000
tr_img_06110,5,5,0.9806
tr_img_06111,6,5,0.8470
tr_img_06112,3,3,0.8426
tr_img_06113,5,5,0.8731
tr_img_06114,4,4,0.9961
tr_img_06115,1,1,0.9631
tr_img_06116,23,21,0.9571
tr_img_06117,15,14,0.9607
tr_img_06118,2,2,0.9932
tr_img_06119,1,0,0.0000
tr_img_06120,1,1,0.9753
tr_img_06121,1,1,0.9983
tr_img_06122,1,1,0.9997
tr_img_06123,1,1,0.9137
tr_img_06124,7,7,0.9640
tr_img_06125,3,3,0.9106
tr_img_06126,5,5,0.9261
tr_img_06127,1,0,0.0000
tr_img_06128,6,6,0.8866
tr_img_06129,1,1,0.9955
tr_img_06130,12,12,0.9328
tr_img_06131,19,19,0.9553
tr_img_06132,4,4,0.9994
tr_img_06133,2,2,0.9997
tr_img_06134,2,2,0.9969
tr_img_06135,33,32,0.9330
tr_img_06136,1,1,0.9696
tr_img_06137,1,1,0.9759
tr_img_06138,1,1,0.9985
tr_img_06139,5,5,0.9351
tr_img_06140,2,2,0.9992
tr_img_06141,3,3,0.8557
tr_img_06142,6,4,0.9010
tr_img_06143,2,2,0.9711
tr_img_06144,0,0,0.0000
tr_img_06145,4,3,0.9187
tr_img_06146,4,3,0.9198
tr_img_06147,1,1,0.9963
tr_img_06148,1,1,0.9934
tr_img_06149,4,4,0.9974
tr_img_06150,1,1,0.9672
tr_img_06151,1,1,0.8788
tr_img_06152,2,2,0.9926
tr_img_06153,9,9,0.9928
tr_img_06154,2,2,0.7709
tr_img_06155,2,2,0.9291
tr_img_06156,5,3,0.8336
tr_img_06157,1,1,0.9946
tr_img_06158,1,0,0.0000
tr_img_06159,10,10,0.9557
tr_img_06160,1,1,0.9928
tr_img_06161,1,0,0.0000
tr_img_06162,7,5,0.8796
tr_img_06163,3,1,0.9985
tr_img_06164,13,12,0.9320
tr_img_06165,6,5,0.8820
tr_img_06166,1,1,0.8594
tr_img_06167,16,16,0.9824
tr_img_06168,3,3,0.8865
tr_img_06169,2,2,0.9968
tr_img_06170,11,11,0.9626
tr_img_06171,9,8,0.9863
tr_img_06172,2,2,0.9973
tr_img_06173,5,5,0.8750
tr_img_06174,1,1,0.7211
tr_img_06175,1,1,0.7787
tr_img_06176,9,9,0.9434
tr_img_06177,4,4,0.9971
tr_img_06178,4,4,0.9963
tr_img_06179,8,7,0.9749
tr_img_06180,7,7,0.9698
tr_img_06181,2,2,0.9919
tr_img_06182,13,13,0.9475
tr_img_06183,3,3,0.9869
tr_img_06184,1,1,0.9670
tr_img_06185,35,30,0.9431
tr_img_06186,0,0,0.0000
tr_img_06187,10,9,0.9289
tr_img_06188,4,4,0.9217
tr_img_06189,3,2,0.9678
tr_img_06190,30,30,0.9493
tr_img_06191,3,3,0.8002
tr_img_06192,5,5,0.9277
tr_img_06193,0,0,0.0000
tr_img_06194,4,4,0.9904
tr_img_06195,4,4,0.9976
tr_img_06196,8,8,0.9364
tr_img_06197,8,8,0.9691
tr_img_06198,18,18,0.9852
tr_img_06199,7,6,0.8781
tr_img_06200,2,2,0.9732
tr_img_06201,1,1,0.9912
tr_img_06202,4,4,0.9979
tr_img_06203,1,0,0.0000
tr_img_06204,11,11,0.8559
tr_img_06205,1,1,0.7417
tr_img_06206,10,10,0.9774
tr_img_06207,2,2,0.7900
tr_img_06208,3,3,0.9995
tr_img_06209,23,22,0.9441
tr_img_06210,5,5,0.8533
tr_img_06211,18,18,0.9440
tr_img_06212,2,2,0.9101
tr_img_06213,3,3,0.9578
tr_img_06214,5,5,0.8482
tr_img_06215,13,12,0.9772
tr_img_06216,1,1,0.9974
tr_img_06217,1,1,0.8112
tr_img_06218,4,4,0.9264
tr_img_06219,0,0,0.0000
tr_img_06220,2,2,0.9941
tr_img_06221,2,2,0.9971
tr_img_06222,3,3,0.9118
tr_img_06223,1,0,0.0000
tr_img_06224,1,1,0.8414
tr_img_06225,3,2,0.7550
tr_img_06226,2,2,0.9926
tr_img_06227,6,5,0.9479
tr_img_06228,10,10,0.9060
tr_img_06229,1,1,0.9998
tr_img_06230,3,2,0.9635
tr_img_06231,13,12,0.9476
tr_img_06232,2,2,0.9423
tr_img_06233,4,4,0.9482
tr_img_06234,7,7,0.9779
tr_img_06235,6,6,0.9963
tr_img_06236,4,4,0.9817
tr_img_06237,19,18,0.9529
tr_img_06238,4,3,0.9031
tr_img_06239,4,4,0.9984
tr_img_06240,3,3,0.9999
tr_img_06241,7,6,0.9373
tr_img_06242,5,5,0.9000
tr_img_06243,1,1,0.9966
tr_img_06244,3,3,0.9094
tr_img_06245,10,10,0.9909
tr_img_06246,3,3,0.9995
tr_img_06247,2,2,0.9982
tr_img_06248,10,9,0.9439
tr_img_06249,3,3,0.9487
tr_img_06250,6,6,0.8993
tr_img_06251,13,13,0.9755
tr_img_06252,9,9,0.9880
tr_img_06253,4,4,0.9995
tr_img_06254,1,1,0.9155
tr_img_06255,1,1,0.9635
tr_img_06256,4,4,0.9717
tr_img_06257,1,1,0.8469
tr_img_06258,6,4,0.9111
tr_img_06259,2,2,0.8966
tr_img_06260,35,35,0.9763
tr_img_06261,51,47,0.9278
tr_img_06262,1,1,0.9919
tr_img_06263,2,1,0.8834
tr_img_06264,5,5,0.9876
tr_img_06265,1,1,0.9657
tr_img_06266,2,2,0.9169
tr_img_06267,0,0,0.0000
tr_img_06268,4,3,0.8538
tr_img_06269,1,1,0.9920
tr_img_06270,22,22,0.9833
tr_img_06271,4,4,0.9969
tr_img_06272,4,4,0.9140
tr_img_06273,1,1,0.9964
tr_img_06274,2,2,0.8871
tr_img_06275,7,6,0.9686
tr_img_06276,2,2,0.7581
tr_img_06277,14,14,0.9904
tr_img_06278,7,6,0.9537
tr_img_06279,4,4,0.9869
tr_img_06280,2,2,0.9966
tr_img_06281,2,2,0.9980
tr_img_06282,2,2,0.9611
tr_img_06283,4,3,0.9501
tr_img_06284,3,3,0.9931
tr_img_06285,10,10,0.9517
tr_img_06286,3,3,0.9990
tr_img_06287,3,2,0.8469
tr_img_06288,4,4,0.9756
tr_img_06289,3,2,0.8231
tr_img_06290,10,10,0.9605
tr_img_06291,3,3,0.8303
tr_img_06292,3,2,0.7249
tr_img_06293,12,12,0.9823
tr_img_06294,7,7,0.8900
tr_img_06295,1,1,0.9344
tr_img_06296,1,1,0.8617
tr_img_06297,10,9,0.9583
tr_img_06298,5,5,0.9752
tr_img_06299,8,8,0.9443
tr_img_06300,1,1,0.7831
tr_img_06301,7,7,0.9432
tr_img_06302,2,2,0.9649
tr_img_06303,14,12,0.9150
tr_img_06304,1,0,0.0000
tr_img_06305,1,0,0.0000
tr_img_06306,3,2,0.9856
tr_img_06307,22,21,0.9895
tr_img_06308,21,16,0.9639
tr_img_06309,6,6,0.9555
tr_img_06310,1,1,0.9974
tr_img_06311,2,2,0.9571
tr_img_06312,17,17,0.9481
tr_img_06313,3,3,0.8736
tr_img_06314,11,10,0.9683
tr_img_06315,1,0,0.0000
tr_img_06316,13,11,0.9464
tr_img_06317,2,2,0.9469
tr_img_06318,4,1,1.0000
tr_img_06319,7,7,0.8550
tr_img_06320,34,31,0.9360
tr_img_06321,2,2,0.9895
tr_img_06322,1,1,0.9401
tr_img_06323,2,2,0.9439
tr_img_06324,2,2,0.9335
tr_img_06325,4,4,0.9740
tr_img_06326,9,9,0.9091
tr_img_06327,8,8,0.9905
tr_img_06328,2,2,0.9984
tr_img_06329,4,4,0.9983
tr_img_06330,5,5,0.8451
tr_img_06331,1,1,0.9992
tr_img_06332,8,7,0.9824
tr_img_06333,1,1,0.9393
tr_img_06334,15,15,0.9923
tr_img_06335,1,1,0.9781
tr_img_06336,2,2,0.9507
tr_img_06337,1,1,0.9878
tr_img_06338,3,3,0.9915
tr_img_06339,0,0,0.0000
tr_img_06340,1,1,0.8969
tr_img_06341,1,1,0.9998
tr_img_06342,1,0,0.0000
tr_img_06343,6,6,0.8989
tr_img_06344,1,1,0.8760
tr_img_06345,3,3,0.9728
tr_img_06346,10,10,0.8968
tr_img_06347,7,7,0.9300
tr_img_06348,4,4,0.9925
tr_img_06349,21,17,0.9641
tr_img_06350,6,5,0.9679
tr_img_06351,5,4,0.9225
tr_img_06352,34,30,0.9635
tr_img_06353,9,9,0.9716
tr_img_06354,1,1,0.9990
tr_img_06355,2,2,0.9558
tr_img_06356,6,6,0.9280
tr_img_06357,2,2,0.9062
tr_img_06358,3,3,0.9724
tr_img_06359,1,1,0.8115
tr_img_06360,4,4,0.9986
tr_img_06361,15,15,0.9672
tr_img_06362,2,2,0.9877
tr_img_06363,2,2,0.9971
tr_img_06364,2,0,0.0000
tr_img_06365,4,4,0.9977
tr_img_06366,6,5,0.9939
tr_img_06367,1,1,0.9992
tr_img_06368,1,1,0.8637
tr_img_06369,9,8,0.8934
tr_img_06370,2,2,0.9951
tr_img_06371,2,2,0.9551
tr_img_06372,4,4,0.9721
tr_img_06373,0,0,0.0000
tr_img_06374,2,2,0.9838
tr_img_06375,15,15,0.9655
