Image,Total_Boxes,Retained_Boxes,Average_Confidence
tr_img_06001,10,10,0.9885
tr_img_06002,3,3,0.9487
tr_img_06003,2,2,0.9968
tr_img_06004,4,4,0.8682
tr_img_06005,1,1,0.9123
tr_img_06006,2,2,0.9892
tr_img_06007,3,2,0.9951
tr_img_06008,0,0,0.0000
tr_img_06009,4,4,0.9969
tr_img_06010,4,4,0.9982
tr_img_06011,11,11,0.8988
tr_img_06012,1,1,0.9969
tr_img_06013,5,5,0.9856
tr_img_06014,4,4,0.9413
tr_img_06015,1,1,0.9291
tr_img_06016,1,1,0.8830
tr_img_06017,0,0,0.0000
tr_img_06018,5,5,0.9568
tr_img_06019,4,4,0.9305
tr_img_06020,9,9,0.9401
tr_img_06021,5,5,0.9397
tr_img_06022,1,1,0.9977
tr_img_06023,26,23,0.9707
tr_img_06024,2,2,0.9991
tr_img_06025,4,3,0.9087
tr_img_06026,9,9,0.9413
tr_img_06027,4,4,0.9691
tr_img_06028,2,2,0.9990
tr_img_06029,2,1,0.9997
tr_img_06030,3,3,0.9847
tr_img_06031,2,2,0.9790
tr_img_06032,3,3,0.8727
tr_img_06033,5,5,0.9960
tr_img_06034,1,0,0.0000
tr_img_06035,2,2,0.9237
tr_img_06036,18,18,0.9756
tr_img_06037,5,5,0.8227
tr_img_06038,5,5,0.9563
tr_img_06039,2,2,0.9959
tr_img_06040,47,44,0.9508
tr_img_06041,2,2,0.9880
tr_img_06042,1,1,0.7843
tr_img_06043,5,4,0.9858
tr_img_06044,2,2,0.9978
tr_img_06045,4,4,0.9937
tr_img_06046,3,3,0.9085
tr_img_06047,3,3,0.9342
tr_img_06048,3,3,0.9456
tr_img_06049,2,2,0.9974
tr_img_06050,1,0,0.0000
tr_img_06051,1,1,0.8160
tr_img_06052,3,3,0.8381
tr_img_06053,1,1,0.9995
tr_img_06054,2,2,0.9952
tr_img_06055,52,51,0.9621
tr_img_06056,2,2,0.9974
tr_img_06057,1,0,0.0000
tr_img_06058,3,3,0.9982
tr_img_06059,1,1,0.7750
tr_img_06060,1,1,1.0000
tr_img_06061,5,5,0.9814
tr_img_06062,4,4,0.9711
tr_img_06063,2,2,0.8789
tr_img_06064,11,11,0.9720
tr_img_06065,0,0,0.0000
tr_img_06066,3,3,0.9769
tr_img_06067,16,16,0.9422
tr_img_06068,6,6,0.9240
tr_img_06069,2,2,0.9948
tr_img_06070,1,1,0.7690
tr_img_06071,1,1,0.9265
tr_img_06072,14,11,0.9299
tr_img_06073,1,1,0.7610
tr_img_06074,3,2,0.9471
